index,current_price,market_cap,total_volume,date
dot,6517.841682481299,127055960182.05128,4016233473.684136,19-09-2023
eos,46760.282480933776,911636170631.224,28813251516.007645,19-09-2023
eth,16.338537916670145,318429893.7073594,10067655.22831896,19-09-2023
eur,25008.85510410949,487563170473.9917,15410224104.953024,19-09-2023
gbp,21594.39838361912,421032518844.02057,13306267604.730291,19-09-2023
hkd,209082.12491512092,4076229532780.1714,128834462348.19252,19-09-2023
huf,9594477.37620039,187002557788611.75,5912027796620.496,19-09-2023
idr,411353897.1025893,8016231100769037.0,253472448635005.44,19-09-2023
ils,102137.67364021404,1991258706934.9763,62936285319.81919,19-09-2023
inr,2226364.249045383,43405289889254.766,1371864960399.852,19-09-2023
jpy,3947373.9282399593,76963661116952.06,2432335131176.432,19-09-2023
krw,35349841.813873865,689147713505628.9,21782244015517.586,19-09-2023
kwd,8260.43733717214,161044080842.0627,5090004721.960533,19-09-2023
lkr,8653782.355599014,168712668395085.0,5332380266914.167,19-09-2023
ltc,406.0999074588823,7914403856.955685,250234989.0424901,19-09-2023
mmk,56150108.0922364,1094692953629051.2,34599174796950.797,19-09-2023
mxn,458159.0197409279,8931872794465.74,282313330239.30115,19-09-2023
myr,125390.71114923942,2444595969790.9707,77264590939.69852,19-09-2023
ngn,21076658.29212301,410906943946284.7,12987240971769.28,19-09-2023
nok,289095.5448612641,5636136700177.996,178137988144.98807,19-09-2023
nzd,45167.87882113727,880467977276.6041,27832027179.233456,19-09-2023
php,1514596.1916495597,29528309649352.527,933280097975.8882,19-09-2023
pkr,7857139.708490457,153181458892912.9,4841496471058.65,19-09-2023
pln,116061.06997246822,2262353920910.58,71515752748.0127,19-09-2023
rub,2579234.0337297884,50284307874282.09,1589300042462.4314,19-09-2023
sar,100307.0601784028,1955569378355.7563,61808278316.75493,19-09-2023
sek,298001.57455257635,5810368774121.332,183625800876.0049,19-09-2023
sgd,36461.581102862256,710855037539.3661,22467287433.86972,19-09-2023
thb,954028.3665942162,18592970808512.152,587863413598.783,19-09-2023
try,721818.8890372907,14072562515200.852,444778091477.88855,19-09-2023
twd,853416.2933103812,16640822509011.951,525867189040.983,19-09-2023
uah,987466.8790014077,19251486259104.344,608467914196.1093,19-09-2023
usd,26741.461110948952,521346975856.4663,16477839825.05836,19-09-2023
vef,2677.6225010393177,52202472692.50803,1649926101.683093,19-09-2023
vnd,652151470.573631,1.2714234109096694e+16,401849675648004.2,19-09-2023
xag,1148.209881963705,22385877976.691933,707516258.8180543,19-09-2023
xau,13.82533539436062,269499892.2294834,8519043.189555181,19-09-2023
xdr,20274.118965649268,395260773786.5083,12492723696.887465,19-09-2023
xlm,226727.2407618081,4419947585017.466,139707218754.80725,19-09-2023
xrp,53194.53685268578,1036642236442.9064,32777979265.606987,19-09-2023
yfi,4.904977149021396,95544063.3053351,3022401.336703844,19-09-2023
zar,508745.60105136025,9918425497083.574,313484311535.8058,19-09-2023
bits,999786.7173974704,19489992380325.28,616059284126.072,19-09-2023
link,4079.254679281568,79546328276.3332,2513598824.385113,19-09-2023
sats,99978671.73974705,1948999238032528.0,61605928412607.2,19-09-2023
aed,99973.21110490666,1947940092693.1987,46336906585.32757,20-09-2023
ars,9526027.150895434,185612775436292.6,4415249098652.506,20-09-2023
aud,42114.9209927935,820736985821.5378,19519980786.09026,20-09-2023
bch,124.11363429051896,2420511315.5803547,57525829.3149196,20-09-2023
bdt,2987551.0741460267,58211299326885.93,1384709698844.5654,20-09-2023
bhd,10261.919895408955,199949616215.6598,4756330404.159056,20-09-2023
bmd,27219.296874634216,530357673731.022,12615959842.229397,20-09-2023
bnb,125.36185197042587,2444255806.8725586,58104369.75983248,20-09-2023
brl,132487.20560759527,2581569012653.125,61406922936.06767,20-09-2023
btc,1.0,19490562.0,463496.8257327621,20-09-2023
cad,36591.44517450829,713062710185.3171,16959887135.105827,20-09-2023
chf,24425.45380482809,475985935377.792,11321032492.103325,20-09-2023
clp,24071385.191082787,469021808764029.75,11156924086475.574,20-09-2023
cny,198608.3215754568,3869807802145.7856,92053612584.81134,20-09-2023
czk,622986.4205951446,12138349644806.969,288749988681.9981,20-09-2023
dkk,189938.2950384639,3700907975938.703,88035113976.06523,20-09-2023
dot,6549.554165410842,127645259755.35364,3035674018.910154,20-09-2023
eos,46656.3468602104,909287704822.3066,21624900932.767017,20-09-2023
eth,16.55945481230624,322736670.3494564,7675195.207410194,20-09-2023
eur,25482.48797965761,496473121956.34766,11810960676.616446,20-09-2023
gbp,21963.305086736145,427946667648.91046,10179843228.614605,20-09-2023
hkd,212875.99651471805,4147732724984.069,98666583335.11192,20-09-2023
huf,9781497.427440206,190557512171556.47,4533657842442.489,20-09-2023
idr,418942031.6584396,8161768074578126.0,194176795674333.4,20-09-2023
ils,103702.9352591536,2020612352936.184,48065608482.70914,20-09-2023
inr,2264713.5209924625,44127083818247.67,1049679386157.1342,20-09-2023
jpy,4021831.4410690023,78364058797474.64,1864091647423.349,20-09-2023
krw,36171859.71318583,704794964409524.9,16765412114137.877,20-09-2023
kwd,8404.774488949572,163763842494.66507,3895556080.083601,20-09-2023
lkr,8816378.871358253,171783797740283.56,4086331925002.385,20-09-2023
ltc,404.199921208656,7874812686.89492,187343927.2765644,20-09-2023
mmk,57163761.253753066,1113814202471510.6,26495016374952.883,20-09-2023
mxn,464540.1715582116,9053417633658.05,215311224844.39667,20-09-2023
myr,127835.42777172006,2490824814677.7383,59250855399.03057,20-09-2023
ngn,21109777.31873529,411316002882414.5,9784238886043.904,20-09-2023
nok,293185.4976100447,5713490183336.941,135889493443.13556,20-09-2023
nzd,45734.81528415111,891507383446.5303,21197777285.50835,20-09-2023
php,1544994.727655492,30103636161508.02,716094597532.4635,20-09-2023
pkr,8023449.233454382,156333864550312.7,3718814405516.748,20-09-2023
pln,118729.40253738928,2313267960162.3667,55030274345.53161,20-09-2023
rub,2633494.436891409,51312640064369.15,1220606844239.1758,20-09-2023
